System*,Property Name,Property Address 1,Property City,Property State*,Property Zip,Units Count,Service Status*,Contract Status*,Property Type*,Risk Status*,Expiration Date,Effective Date,House Misc Code,Sales Stage *,Assigned AE *,In Stage Date,MDU Complex ID,Opportunity Type *,Opportunity Comments,No Sale Outcome *,No Sale Reason *
Chicago City,1 E. Balbo Apartments,1 E. Balbo,Chicago,IL,60605,36,Retail,Active,Apartment,>24,12/5/2022,12/5/2007,700W,,,,298140,,,,
Chicago City,1 S. Halsted Apartments,1 S. Halsted,Chicago,IL,60661,514,Not Serviced,,Apartment,Not Serviced,,,,,,,434855,,,,
Chicago City,10 East Delaware Condominiums (Ten East Delaware Condominiums CSG Billing Name),10 E. Delaware Place,Chicago,IL,60611,116,Bulk,Active,Condominium,>24,1/31/2018,1/31/2013,510T,Completed,"Butler, David",1/17/2013,378780,Renewal,,,
Chicago City,10 W. Elm Street Apartments,10 W. Elm Street,Chicago,IL,60610,124,Not Serviced,,Apartment,Not Serviced,,,,No Sale,"Trettin, Steven",3/10/2013,416249,Win Back,Building has a contract with RCN 10/18/12. Not interested in Comcast services.,No Right To Service,Competitive Service Offering
Chicago City,100 E. Bellevue Place,100 E. Bellevue Place,Chicago,IL,60611,171,Not Serviced,,Condominium,Not Serviced,,,,Contact Made,"Hartman, Daniel",9/4/2015,413108,Win Back,,,
Chicago City,100 E. Walton Condominiums,100 E. Walton Place,Chicago,IL,60611,250,Not Serviced,,Condominium,Not Serviced,,,,No Sale,"O'Neill, Gerrit",5/23/2014,426721,Win Back,Board meets Feb. 27th. Proposal must be submitted by Feb. 24th.,"Service, No New Agreement",Other...
Chicago City,100 S SANGAMON ST,100 S SANGAMON ST,CHICAGO,IL,60607,8,Retail,,Condominium,No Contract,,,540F,,,,392399,,,,
Chicago City,100 S. Ashland Apartments,100 S. Ashland,Chicago,IL,60607,13,Retail,Franchise,Apartment,LOF,,11/5/1997,4921,,,,218334,,,,
Chicago City,100 West Chestnut Apartments,100 W. Chestnut Street,Chicago,IL,60610,346,Not Serviced,,Apartment,Not Serviced,,,706W,No Sale,"Hebel, Stephen",10/30/2014,293192,Win Back,"under contract, contact Jim C. in 2016","Service, No New Agreement",Competitive Service Offering
Chicago City,1000 Lake Shore Plaza,1000 Lake Shore Plaza,Chicago,IL,60611,132,Not Serviced,,Condominium,Not Serviced,,,,,,,437340,,,,
Chicago City,1000 N. LaSalle Apartments,1000 N. LaSalle Boulevard,Chicago,IL,60610,148,Not Serviced,,Apartment,Not Serviced,,,,Negotiating,"Esler, Theodore",9/1/2015,411866,Win Back,,,
Chicago City,1000 South Clark,1000 S. Clark Street,Chicago,IL,60605,469,Not Serviced,,Apartment,Not Serviced,,,,Final Contract Sent,"Taylor, Bryant",10/5/2015,432782,New Build,,,
