ID NUMBER,Building Address,City,State,Zip,PropertyType,Building Name,Latitude,Longitude,Number Of Stories,OPN,Star Rating,Submarket Cluster,Submarket Name,PROJECT NAME
13,1 S Halsted St,Chicago,IL,606613505,Multi-Family,One South Halsted,41.8814999,-87.6469249,46,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
40,1000 W Adams St,Chicago,IL,60607,Multi-Family,,41.8795668,-87.6525418,7,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
52,1001 W Madison St,Chicago,IL,60607,Multi-Family,,41.881428,-87.652634,7,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
54,100-106 S Sangamon St,Chicago,IL,60607,Multi-Family,,41.8802327,-87.6510788,4,7,2 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
56,100-140 S Ashland Ave,Chicago,IL,60607,Multi-Family,Paramount Lofts,41.8799715,-87.6670912,6,7,3 Star,Northwest Chicago MF,Near West Side MF,West Loop 
58,1002 W Van Buren St,Chicago,IL,606072916,Multi-Family,Van Buren Morgan Place,41.876791,-87.652234,4,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
90,1020 W Adams St,Chicago,IL,606072912,Multi-Family,No. Ten Lofts,41.879528,-87.653653,5,7,4 Star,Metro Chicago,River West,West Loop 
124,1041 W Madison St,Chicago,IL,60606,Multi-Family,,41.8813781,-87.6536331,4,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
162,108 N State St,Chicago,IL,606021608,Multi-Family,Block 37 Apartments,41.8841171,-87.6290977,34,NA,5 Star,Downtown Chicago MF,The Loop MF,Loop
170,11 S Green St,Chicago,IL,606072777,Multi-Family,Gateway Apartments,41.881411,-87.648209,17,7,5 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
208,111 S Morgan St,Chicago,IL,60607,Multi-Family,,41.8796635,-87.6516688,8,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
209,111 S Peoria St,Chicago,IL,60607,Multi-Family,,41.8800448,-87.6492546,13,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
217,111 W Wacker Dr,Chicago,IL,60601,Multi-Family,OneEleven,41.886514,-87.631409,60,4a,5 Star,Downtown Chicago MF,The Loop MF,Loop
231,1116 W Adams St,Chicago,IL,60607-290,Multi-Family,CA Condos,41.879458,-87.655645,1,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
315,1164-1212 W Madison St,Chicago,IL,606072023,Multi-Family,Madison at Racine,41.8820095,-87.6569927,9,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
340,1200 W Monroe St,Chicago,IL,606072565,Multi-Family,The Metro,41.880749,-87.657552,8,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
345,1201-1205 W Adams St,Chicago,IL,60607,Multi-Family,Promenade,41.8788,-87.657533,10,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
366,1222 W Madison St,Chicago,IL,60607,Multi-Family,Luxe On Madison,41.881959,-87.657983,5,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
368,1224 W Madison St,Chicago,IL,606071908,Multi-Family,Luxe on Madison Phase II,41.8817888,-87.658272,5,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
369,1224 W Van Buren St,Chicago,IL,606072804,Multi-Family,Van Buren Lofts,41.876824,-87.658451,8,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
373,1228 W Monroe St,Chicago,IL,60607,Multi-Family,,41.8806367,-87.658181,5,7,2 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
377,123 N Des Plaines St,Chicago,IL,60661,Multi-Family,Catalyst,41.883392,-87.64374,19,1,5 Star,Downtown Chicago MF,West Loop MF,Loop
381,123 N Sangamon St,Chicago,IL,60607,Multi-Family,123 Sangamon,41.8838643,-87.6506895,7,"Removed - WL pink
",4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
383,123 S Green St,Chicago,IL,60607,Multi-Family,Emerald Condominiums,41.879881,-87.6480817,11,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
398,1237 W Madison,Chicago,IL,60607,Multi-Family,,41.881369,-87.659294,4,7,4 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
399,1238 W Jackson Blvd,Chicago,IL,606073078,Multi-Family,Jackson Street Condominiums,41.8779564,-87.6587176,4,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
405,1242 W Jackson Blvd,Chicago,IL,60607,Multi-Family,Jackson Street Condominiums,41.877957,-87.658865,4,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
412,1248 W Jackson Blvd,Chicago,IL,60607,Multi-Family,Jackson Street Condominiums,41.877956,-87.659,4,7,3 Star,Downtown Chicago MF,Fulton Market MF,West Loop 
